,AC,coh,sex,imm,mrt,p,pp,ex60,ex65
201,61,1930,1,1,0,99,99,22.817159501194805,18.563974845115965
202,61,1930,1,1,1,99,99,24.957896338312928,20.576009495154747
203,61,1930,1,1,2,99,99,23.146519162771963,18.871955389354646
204,61,1935,0,0,0,99,99,25.575036325224502,21.160230808842947
205,61,1935,0,0,1,99,99,27.784943572956024,23.265535693528072
206,61,1935,0,0,2,99,99,25.916044928301655,21.483781549847514
207,61,1935,0,1,0,99,99,27.68228339930246,23.167309647940964
208,61,1935,0,1,1,99,99,29.933593720241436,25.32979141501108
209,61,1935,0,1,2,99,99,28.03028671211114,23.50043831638764
210,61,1935,1,0,0,99,99,21.357311422912996,17.206626744113827
211,61,1935,1,0,1,99,99,23.4527260320318,19.15882475336419
212,61,1935,1,0,2,99,99,21.679056524324142,17.504642795734178
213,61,1935,1,1,0,99,99,23.354873938900205,19.067096702040498
214,61,1935,1,1,1,99,99,25.5106540748789,21.09920210859509
215,61,1935,1,1,2,99,99,23.68676402675949,19.378423446362067
216,61,1940,0,0,0,99,99,25.78007804465647,21.3547145051851
217,61,1940,0,0,1,99,99,27.99440434358035,23.466069263868242
218,61,1940,0,0,2,99,99,26.121832124430924,21.67927713550746
219,61,1940,0,1,0,99,99,27.891559177912452,23.367587360381815
220,61,1940,0,1,1,99,99,30.1465217901325,25.53517224963648
221,61,1940,0,1,2,99,99,28.24018222219452,23.701574117517403
222,61,1940,1,0,0,99,99,21.550695707198546,17.385668229380663
223,61,1940,1,0,1,99,99,23.65251891724079,19.346272992887837
224,61,1940,1,0,2,99,99,21.873516727168386,17.685083316920785
225,61,1940,1,1,0,99,99,23.554396995251036,19.254187187369503
226,61,1940,1,1,1,99,99,25.71555223080546,21.293491319582362
227,61,1940,1,1,2,99,99,23.887191612838617,19.566714637846133
228,61,1945,0,0,0,99,99,26.074096750108644,21.633912951295834
229,61,1945,0,0,1,99,99,28.294605157433548,23.75375136212219
230,61,1945,0,0,2,99,99,26.41689400279273,21.95989498709044
231,61,1945,0,1,0,99,99,28.191501290994836,23.654910825173666
232,61,1945,0,1,1,99,99,30.451557710698125,25.829633782193277
233,61,1945,0,1,2,99,99,28.540990918062082,23.990100258285775
234,61,1945,1,0,0,99,99,21.82838918373092,17.643187990253967
235,61,1945,1,0,1,99,99,23.939189831288097,19.615598278647333
236,61,1945,1,0,2,99,99,22.15271782017006,17.944568208249457
237,61,1945,1,1,0,99,99,23.84069004993894,19.523010239832455
238,61,1945,1,1,1,99,99,26.009370030005343,21.57241693606475
239,61,1945,1,1,2,99,99,24.17475129315927,19.837223237769773
240,61,1950,0,0,0,99,99,26.378497048438042,21.923357109677255
241,61,1950,0,0,1,99,99,28.60521929743889,24.051746823106548
242,61,1950,0,0,2,99,99,26.722343177628595,22.25077043087923
243,61,1950,0,1,0,99,99,28.501855555988552,23.952545014993035
244,61,1950,0,1,1,99,99,30.7670051085044,26.13443323978019
245,61,1950,0,1,2,99,99,28.852215552120764,24.288945795107512
246,61,1950,1,0,0,99,99,22.116359909604014,17.91075059968333
247,61,1950,1,0,1,99,99,24.236198676009355,19.895081362366664
248,61,1950,1,0,2,99,99,22.44220686357303,18.214115680569442
249,61,1950,1,1,0,99,99,24.137318635752017,19.8019863960542
250,61,1950,1,1,1,99,99,26.31356830878515,21.86158595779359
251,61,1950,1,1,2,99,99,24.472654490962327,20.11790061689475
252,62,1926,0,0,0,99,99,24.49940743702013,20.143128054158698
253,62,1926,0,0,1,99,99,26.68459560803517,22.21480335638938
254,62,1926,0,0,2,99,99,24.836248944553905,20.461058580073207
255,62,1926,0,1,0,99,99,26.582971092566485,22.118000959140055
256,62,1926,0,1,1,99,99,28.813763643791358,24.25200551348625
257,62,1926,0,1,2,99,99,26.927504497099985,22.446354413920215
258,62,1926,1,0,0,99,99,20.34671420876658,16.27511894342406
259,62,1926,1,0,1,99,99,22.406406846369688,18.18075459881683
260,62,1926,1,0,2,99,99,20.662466491389225,16.56539067815091
261,62,1926,1,1,0,99,99,22.310060135814332,18.091009550741532
262,62,1926,1,1,1,99,99,24.435827552415955,20.083179362200163
263,62,1926,1,1,2,99,99,22.636903330394144,18.39568024657794
264,62,1930,0,0,0,99,99,24.988621175035632,20.60505399056146
265,62,1930,0,0,1,99,99,27.185381498151248,22.692428985604128
266,62,1930,0,0,2,99,99,25.3274128849752,20.925607318275215
267,62,1930,0,1,0,99,99,27.083271967320034,22.59496168342037
268,62,1930,0,1,1,99,99,29.32368291457983,24.74227829393552
269,62,1930,0,1,2,99,99,27.429430451420206,22.925545478010303
270,62,1930,1,0,0,99,99,20.805520265019716,16.697135187734094
271,62,1930,1,0,1,99,99,22.881909924493364,18.624473954554883
272,62,1930,1,0,2,99,99,21.124072775860093,16.991015733618312
273,62,1930,1,1,0,99,99,22.784859297288982,18.53380431025808
274,62,1930,1,1,1,99,99,24.924665809900084,20.544601328414505
275,62,1930,1,1,2,99,99,23.114062520780063,18.841578585268106
276,62,1935,0,0,0,99,99,25.54157228526091,21.12850754284711
277,62,1935,0,0,1,99,99,27.750749747867484,23.23281445551044
278,62,1935,0,0,2,99,99,25.882457791886342,21.451891390092808
279,62,1935,0,1,0,99,99,27.64812012962548,23.13463062353049
280,62,1935,0,1,1,99,99,29.898826599712066,25.296269771728955
281,62,1935,0,1,2,99,99,27.996021077291093,23.46761771285328
282,62,1935,1,0,0,99,99,21.325771602530274,17.17744943550346
283,62,1935,1,0,1,99,99,23.420128539190948,19.128261623873218
284,62,1935,1,0,2,99,99,21.647339158798843,17.475234887600678
285,62,1935,1,1,0,99,99,23.322320985711876,19.0365925556005
286,62,1935,1,1,1,99,99,25.477213740052452,21.06751091852057
287,62,1935,1,1,2,99,99,23.65406176349902,19.3477213355559
288,62,1940,0,0,0,99,99,25.74653949771948,21.322890289339174
289,62,1940,0,0,1,99,99,27.960149105430585,23.43326306034952
290,62,1940,0,0,2,99,99,26.08817266351056,21.647288656664024
291,62,1940,0,1,0,99,99,27.85733393858498,23.334822680764834
292,62,1940,0,1,1,99,99,30.111704752710487,25.501579885178913
293,62,1940,0,1,2,99,99,28.205856487984214,23.668670179638646
294,62,1940,1,0,0,99,99,21.519048463017718,17.356351487095996
295,62,1940,1,0,1,99,99,23.61983183123814,19.315591035893625
296,62,1940,1,0,2,99,99,21.84169489040589,17.655539359425195
297,62,1940,1,1,0,99,99,23.52175368579392,19.223563321645734
298,62,1940,1,1,1,99,99,25.68203696992473,21.261698675903677
299,62,1940,1,1,2,99,99,23.854401556029412,19.535895806870805
300,62,1945,0,0,0,99,99,26.04045393680867,21.601947120886614
301,62,1945,0,0,1,99,99,28.260264038433412,23.720826065727334
302,62,1945,0,0,2,99,99,26.383133340353343,21.927768600876252
303,62,1945,0,1,0,99,99,28.157189387207527,23.62202607885015
304,62,1945,0,1,1,99,99,30.41667156261255,25.795943021064733
305,62,1945,0,1,2,99,99,28.506581156499557,23.957079534643544
306,62,1945,1,0,0,99,99,21.7965914044732,17.61367538615125
307,62,1945,1,0,1,99,99,23.906377283334205,19.584749507413164
308,62,1945,1,0,2,99,99,22.12074960167893,17.914833158785015
309,62,1945,1,1,0,99,99,23.80792020588878,19.492218302616067
310,62,1945,1,1,1,99,99,25.97574991418854,21.5404819678924
311,62,1945,1,1,2,99,99,24.141838303804608,19.80624056348932
312,62,1950,0,0,0,99,99,26.34474939159486,21.891248468166044
313,62,1950,0,0,1,99,99,28.570791911260084,24.018701562160576
314,62,1950,0,0,2,99,99,26.688480765976617,22.21850499209691
315,62,1950,0,1,0,99,99,28.467456587763333,23.919539310772
316,62,1950,0,1,1,99,99,30.73205068764609,26.1006445555624
317,62,1950,0,1,2,99,99,28.81772141690405,24.255807467985782
318,62,1950,1,0,0,99,99,22.08441051601686,17.88104015582171
319,62,1950,1,0,1,99,99,24.20325987097394,19.864064219921627
320,62,1950,1,0,2,99,99,22.41009123298874,18.18418762956941
321,62,1950,1,1,0,99,99,24.104421450348234,19.771024812061402
322,62,1950,1,1,1,99,99,26.2798427550864,21.82950745865238
323,62,1950,1,1,2,99,99,24.43961780111519,20.086752585515672
324,63,1926,0,0,0,99,99,24.606044054698035,20.24371869252565
325,63,1926,0,0,1,99,99,26.793803231171175,22.318875511920776
326,63,1926,0,0,2,99,99,24.94331875112086,20.56223070408885
327,63,1926,0,1,0,99,99,26.69207093232792,22.22192562482006
328,63,1926,0,1,1,99,99,28.925001818368596,24.358884283006425
329,63,1926,0,1,2,99,99,27.036965481879534,22.55077383097137
330,63,1926,1,0,0,99,99,20.44660053949983,16.3668664687273
331,63,1926,1,0,1,99,99,22.50999891629049,18.27731004756168
332,63,1926,1,0,2,99,99,20.76297417139792,16.657937549325542
333,63,1926,1,1,0,99,99,22.413495937500777,18.187360130309802
334,63,1926,1,1,1,99,99,24.542380770421527,20.18365827419746
335,63,1926,1,1,2,99,99,22.740863069382875,18.492718525489977
336,63,1930,0,0,0,99,99,25.095882249249783,20.70648349147829
337,63,1930,0,0,1,99,99,27.29510500762387,22.797209069067083
338,63,1930,0,0,2,99,99,25.435089079636803,21.027596782135582
339,63,1930,0,1,0,99,99,27.192892310209285,22.699599929079323
340,63,1930,0,1,1,99,99,29.435347520939963,24.849754100615925
341,63,1930,0,1,2,99,99,27.539396447942224,23.03065947735998
342,63,1930,1,0,0,99,99,20.906302664221958,16.790036287282437
343,63,1930,1,0,1,99,99,22.986251133202295,18.722014417856197
344,63,1930,1,0,2,99,99,21.225452220384163,17.084688460500345
345,63,1930,1,1,0,99,99,22.889050534962486,18.631147193125308
346,63,1930,1,1,1,99,99,25.031846953234723,20.645923223750778
347,63,1930,1,1,2,99,99,23.218756545037156,18.939584655881557
348,63,1935,0,0,0,99,99,25.649503845315824,21.23084241733769
349,63,1935,0,0,1,99,99,27.86102641343437,23.338357373618347
350,63,1935,0,0,2,99,99,25.99078492796856,21.55476278008865
