,AC,coh,dis,sex,imm,mrt,p,pp,ex60,ex65
95,60,1950,1,1,99,99,99,99,18.705608720510202,14.819144182617036
96,61,1926,0,0,99,99,99,99,26.299286493075243,21.878824786794482
97,61,1926,0,1,99,99,99,99,22.37313053789604,18.18561486722696
98,61,1926,1,0,99,99,99,99,21.49197029448013,17.368224746158656
99,61,1926,1,1,99,99,99,99,17.871259196313844,14.068401502363391
100,61,1930,0,0,99,99,99,99,26.846883878768118,22.399588816226412
101,61,1930,0,1,99,99,99,99,22.893893191779767,18.670882052122398
102,61,1930,1,0,99,99,99,99,22.0051413439898,17.84367353657186
103,61,1930,1,1,99,99,99,99,18.344714639910453,14.493604122675897
104,61,1935,0,0,99,99,99,99,27.39347863903207,22.920591376563422
105,61,1935,0,1,99,99,99,99,23.415016654655272,19.158017857491103
106,61,1935,1,0,99,99,99,99,22.519047484646684,18.321427236330173
107,61,1935,1,1,99,99,99,99,18.820798541760805,14.923298365947637
108,61,1940,0,0,99,99,99,99,27.483935506635554,23.006924074493114
109,61,1940,0,1,99,99,99,99,23.501380013458814,19.238891515256984
110,61,1940,1,0,99,99,99,99,22.604249871888086,18.400787159601844
111,61,1940,1,1,99,99,99,99,18.899910763462596,14.994899292637282
112,61,1945,0,0,99,99,99,99,27.666377479855623,23.181141889524596
113,61,1945,0,1,99,99,99,99,23.67566825377214,19.40222188739434
114,61,1945,1,0,99,99,99,99,22.77622470377728,18.56109733403492
115,61,1945,1,1,99,99,99,99,19.059744850677905,15.139724223701961
116,61,1950,0,0,99,99,99,99,27.90011037595644,23.404519360813744
117,61,1950,0,1,99,99,99,99,23.899152042519894,19.61188768843147
118,61,1950,1,0,99,99,99,99,22.996798833706766,18.76695710683878
119,61,1950,1,1,99,99,99,99,19.26503916638397,15.326060580987898
120,62,1926,0,0,99,99,99,99,26.132487670812623,21.72044542293462
121,62,1926,0,1,99,99,99,99,22.214778623599955,18.038371611050604
122,62,1926,1,0,99,99,99,99,21.33600555039666,17.2240587150526
123,62,1926,1,1,99,99,99,99,17.72776913692895,13.939975131811497
124,62,1930,0,0,99,99,99,99,26.67914013055957,22.239935312634632
125,62,1930,0,1,99,99,99,99,22.734226296129155,18.521931900208816
126,62,1930,1,0,99,99,99,99,21.847760685478075,17.697685509869032
127,62,1930,1,1,99,99,99,99,18.199301645039306,14.362779576148691
128,62,1935,0,0,99,99,99,99,27.224839163021837,22.7597240019933
129,62,1935,0,1,99,99,99,99,23.254099937486156,19.007437020362783
130,62,1935,1,0,99,99,99,99,22.36032022491935,18.17369765863752
131,62,1935,1,1,99,99,99,99,18.673551958399713,14.79017966635327
132,62,1940,0,0,99,99,99,99,27.315152192368107,22.845861205641594
133,62,1940,0,1,99,99,99,99,23.340262282111148,19.088047615059878
134,62,1940,1,0,99,99,99,99,22.445305952629628,18.252776543439623
135,62,1940,1,1,99,99,99,99,18.752368712023866,14.86141014220785
136,62,1945,0,0,99,99,99,99,27.49730776288247,23.019689283521412
137,62,1945,0,1,99,99,99,99,23.514149997889472,19.25085315624879
138,62,1945,1,0,99,99,99,99,22.616849018817444,18.412525945303848
139,62,1945,1,1,99,99,99,99,18.91161359371425,15.005495656503232
140,62,1950,0,0,99,99,99,99,27.730680873406037,23.242576235040673
141,62,1950,0,1,99,99,99,99,23.73713008212444,19.459857631225685
142,62,1950,1,0,99,99,99,99,22.836880025682927,18.617678947786196
143,62,1950,1,1,99,99,99,99,19.116165994974807,15.190899602624182
144,63,1926,0,0,99,99,99,99,26.331358388613953,21.909291155498533
145,63,1926,0,1,99,99,99,99,22.403593136934493,18.213957594408793
146,63,1926,1,0,99,99,99,99,21.521977959394253,17.39598049194185
147,63,1926,1,1,99,99,99,99,17.898888764306818,14.093154503041703
148,63,1930,0,0,99,99,99,99,26.879135749237705,22.430298087484577
149,63,1930,0,1,99,99,99,99,22.924606369922667,18.699550346083512
150,63,1930,1,0,99,99,99,99,22.03541885263585,17.871776834655503
151,63,1930,1,1,99,99,99,99,18.372710853742994,14.518814637234785
152,63,1935,0,0,99,99,99,99,27.425901101957784,22.951532042325187
153,63,1935,0,1,99,99,99,99,23.44596797917699,19.186997163526012
154,63,1935,1,0,99,99,99,99,22.549581610161837,18.34986272452328
155,63,1935,1,1,99,99,99,99,18.84914434465171,14.94894655953811
156,63,1940,0,0,99,99,99,99,27.516385362166588,23.037902004212242
157,63,1940,0,1,99,99,99,99,23.532369638581493,19.267920992103175
158,63,1940,1,0,99,99,99,99,22.634825283799685,18.429276252423563
159,63,1940,1,1,99,99,99,99,18.92831289784527,15.020618161454076
160,63,1945,0,0,99,99,99,99,27.69888187613247,23.212194106192882
161,63,1945,0,1,99,99,99,99,23.706734192295414,19.431351457256305
162,63,1945,1,0,99,99,99,99,22.806882391105052,18.5896933857954
163,63,1945,1,1,99,99,99,99,19.088259316371126,15.16558415985098
164,63,1950,0,0,99,99,99,99,27.932683282884447,23.435665068640226
165,63,1950,0,1,99,99,99,99,23.93031395128038,19.641143379849552
166,63,1950,1,0,99,99,99,99,23.027560013601374,18.795687961413513
167,63,1950,1,1,99,99,99,99,19.29369507378337,15.352098404317243
168,64,1926,0,0,99,99,99,99,26.04343801149725,21.635938801331317
169,64,1926,0,1,99,99,99,99,22.130292171791197,17.95987368468695
170,64,1926,1,0,99,99,99,99,21.25280821743606,17.147220593381306
171,64,1926,1,1,99,99,99,99,17.65130569929027,13.871625350410312
172,64,1930,0,0,99,99,99,99,26.58957981345514,22.154740936120866
173,64,1930,0,1,99,99,99,99,22.64902964486857,18.442513216688983
174,64,1930,1,0,99,99,99,99,21.763798753948624,17.619864655829748
175,64,1930,1,1,99,99,99,99,18.121800448909617,14.293136456700523
176,64,1935,0,0,99,99,99,99,27.13479473444699,22.673874337987623
177,64,1935,0,1,99,99,99,99,23.16822822013278,18.927138623521564
178,64,1935,1,0,99,99,99,99,22.275631061566955,18.094937400839143
179,64,1935,1,1,99,99,99,99,18.595061145186722,14.719299349114488
180,64,1940,0,0,99,99,99,99,27.225030018831326,22.75990600002661
181,64,1940,0,1,99,99,99,99,23.25428198548254,19.00760729576926
182,64,1940,1,0,99,99,99,99,22.360499776440708,18.173864685523856
183,64,1940,1,1,99,99,99,99,18.673718422808705,14.790330049476594
184,64,1945,0,0,99,99,99,99,27.407030781961083,22.93352366236287
185,64,1945,0,1,99,99,99,99,23.427953350389,19.17012968508054
